rank,name,country_name,country_id,value
4,Roger Federer,Switzerland,SUI,65.29
5,Novak Djokovic,Serbia,SRB,64.97
6,Felix Auger Aliassime,Canada,CAN,64.71
15,Andy Murray,United Kingdom,GBR,61.85
17,Milos Raonic,Canada,CAN,61.52
19,John Isner,United States,USA,60.92
21,Rafael Nadal,Spain,ESP,60.80
26,Daniil Medvedev,Russian Federation,RUS,60.26
38,Kei Nishikori,Japan,JPN,59.24
42,Nikoloz Basilashvili,Georgia,GEO,59.04
44,Nick Kyrgios,Australia,AUS,58.95
49,Taro Daniel,Japan,JPN,58.49
50,Alex De Minaur,Australia,AUS,58.33
51,Jo Wilfried Tsonga,France,FRA,58.31
60,Alexander Zverev,Germany,GER,57.82
67,Gael Monfils,France,FRA,57.48
91,Taylor Harry Fritz,United States,USA,56.38
97,Stefanos Tsitsipas,Greece,GRE,56.12
100,Jaume Munar,Spain,ESP,56.10
106,Steve Darcis,Belgium,BEL,55.86
120,Fabio Fognini,Italy,ITA,55.42
127,Tommy Robredo,Spain,ESP,55.22
135,Jack Sock,United States,USA,55.03
143,Kevin Anderson,South Africa,RSA,54.85
147,Richard Gasquet,France,FRA,54.80
160,Lucas Pouille,France,FRA,54.41
163,Daniel Evans,United Kingdom,GBR,54.29
165,Feliciano Lopez,Spain,ESP,54.25
181,Leonardo Mayer,Argentina,ARG,53.77
182,Pablo Cuevas,Uruguay,URU,53.77
183,Bernard Tomic,Australia,AUS,53.69
189,Stan Wawrinka,Switzerland,SUI,53.60
190,Marin Cilic,Croatia,CRO,53.58
201,Roberto Carballes Baena,Spain,ESP,53.49
216,Grigor Dimitrov,Bulgaria,BUL,53.15
225,Borna Coric,Croatia,CRO,52.80
233,Yen Hsun Lu,"Taiwan, Province of China",TPE,52.56
238,Matteo Berrettini,Italy,ITA,52.46
248,Denis Istomin,Uzbekistan,UZB,52.28
249,Thanasi Kokkinakis,Australia,AUS,52.27
253,Dominic Thiem,Austria,AUT,52.24
255,Martin Klizan,Slovakia,SVK,52.21
262,Lukas Rosol,Czech Republic,CZE,52.05
264,Christian Garin,Chile,CHI,52.00
278,Denis Shapovalov,Canada,CAN,51.69
298,Benoit Paire,France,FRA,51.39
298,Radu Albot,"Moldova, Republic of",MDA,51.39
316,Lorenzo Sonego,Italy,ITA,51.16
316,Marius Copil,Romania,ROU,51.16
322,Roberto Bautista Agut,Spain,ESP,51.05
326,Thiago Monteiro,Brazil,BRA,50.98
340,Illya Marchenko,Ukraine,UKR,50.68
353,Viktor Troicki,Serbia,SRB,50.45
357,Pablo Carreno Busta,Spain,ESP,50.31
359,Philipp Kohlschreiber,Germany,GER,50.13
360,Ivo Karlovic,Croatia,CRO,50.06
361,Donald Young,United States,USA,50.00
361,Nicolas Jarry,Chile,CHI,50.00
389,Aljaz Bedene,Slovenia,SLO,49.55
394,Sergiy Stakhovsky,Ukraine,UKR,49.43
