last_name, first_name,player_id,oaa,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_fieldout_2stars,n_opp_2stars,n_2star_percent,n_fieldout_1stars,n_opp_1stars,n_1star_percent
Inciarte, Ender,542255,67,10,81,12.3,47,63,74.6,76,88,86.4,103,107,96.3,66,68,97.1
Cain, Lorenzo,456715,61,13,94,13.8,41,59,69.5,81,93,87.1,103,115,89.6,87,89,97.8
Hamilton, Billy,571740,57,25,84,29.8,31,47,66.0,65,81,80.2,86,95,90.5,72,75,96.0
Betts, Mookie,605141,51,8,102,7.8,34,54,63.0,86,102,84.3,114,121,94.2,88,93,94.6
Buxton, Byron,621439,49,11,59,18.6,28,32,87.5,56,64,87.5,60,62,96.8,59,62,95.2
Kiermaier, Kevin,595281,49,14,47,29.8,25,41,61.0,55,59,93.2,57,61,93.4,67,68,98.5
Bradley Jr., Jackie,598265,43,9,110,8.2,29,43,67.4,64,79,81.0,96,100,96.0,87,89,97.8
Engel, Adam,641553,43,8,52,15.4,19,33,57.6,45,48,93.8,63,63,100.0,51,52,98.1
Marisnick, Jake,545350,39,5,44,11.4,23,29,79.3,56,61,91.8,43,45,95.6,46,46,100.0
Kepler, Max,596146,39,12,84,14.3,20,42,47.6,60,70,85.7,85,92,92.4,78,80,97.5
Heyward, Jason,518792,38,5,82,6.1,32,46,69.6,65,72,90.3,61,64,95.3,81,87,93.1
Broxton, Keon,542979,34,6,41,14.6,21,28,75.0,44,50,88.0,45,47,95.7,41,43,95.3
Margot, Manuel,622534,34,8,59,13.6,22,33,66.7,58,67,86.6,58,66,87.9,56,57,98.2
Bader, Harrison,664056,33,10,37,27.0,15,20,75.0,37,42,88.1,47,48,97.9,43,45,95.6
DeShields, Delino,592261,28,5,66,7.6,29,48,60.4,47,57,82.5,71,79,89.9,50,53,94.3
Taylor, Michael A.,572191,27,6,51,11.8,15,23,65.2,45,51,88.2,50,57,87.7,32,32,100.0
Robles, Victor,645302,24,2,26,7.7,18,22,81.8,24,25,96.0,26,27,96.3,27,27,100.0
Martin, Leonys,547982,23,7,63,11.1,19,40,47.5,43,50,86.0,54,62,87.1,55,58,94.8
Dyson, Jarrod,502481,23,6,44,13.6,14,24,58.3,43,51,84.3,46,50,92.0,45,48,93.8
