,full_name,team,att,cmp,cmp_pct,cpoe,aDOT,yards,tds,int
1,Drew Brees,NO,378,281,74.3,8.9,6.4,2979,27,4
2,Ryan Tannehill,TEN,286,201,70.3,8.4,9.5,2742,22,6
3,Derek Carr,OAK,513,361,70.4,5,6.5,4054,21,8
4,Russell Wilson,SEA,516,341,66.1,4.7,9.4,4110,31,5
5,Matthew Stafford,DET,291,187,64.3,4.2,10.6,2499,19,5
6,Deshaun Watson,HOU,495,333,67.3,4.1,8.9,3852,26,12
7,Kirk Cousins,MIN,444,307,69.1,4.1,7.6,3603,26,6
8,Jimmy Garoppolo,SF,476,329,69.1,3.3,6.5,3978,27,13
9,Lamar Jackson,BAL,401,265,66.1,3,8.8,3127,36,6
10,Patrick Mahomes,KC,484,319,65.9,2.9,8.8,4031,26,5
11,Philip Rivers,LAC,591,390,66,2.8,8.5,4615,23,20
12,Dak Prescott,DAL,596,388,65.1,2.7,9.3,4902,30,11
13,Matt Ryan,ATL,616,408,66.2,2.2,8.1,4466,26,14
14,Carson Wentz,PHI,607,388,63.9,0.5,8.1,4039,27,7
15,Kyler Murray,ARI,542,349,64.4,0.5,7.4,3722,20,12
16,Jameis Winston,TB,626,380,60.7,0.3,10.4,5109,33,30
17,Joe Flacco,DEN,262,171,65.3,-0.2,6.7,1822,6,5
18,Sam Darnold,NYJ,441,273,61.9,-0.4,8.2,3024,19,13
19,Case Keenum,WAS,247,160,64.8,-0.5,6.9,1707,11,5
20,Aaron Rodgers,GB,569,353,62,-0.6,8.8,4002,26,4
21,Mitchell Trubisky,CHI,516,326,63.2,-0.9,8,3138,17,10
22,Jared Goff,LA,626,394,62.9,-1.1,7.7,4638,22,16
23,Ryan Fitzpatrick,MIA,502,311,62,-1.1,8.9,3529,20,13
24,Kyle Allen,CAR,489,303,62,-1.3,8.1,3322,17,16
25,Mason Rudolph,PIT,283,176,62.2,-2,8.1,1765,13,9
26,Daniel Jones,NYG,459,284,61.9,-2.3,8,3027,24,12
27,Andy Dalton,CIN,528,314,59.5,-2.8,7.6,3494,16,14
28,Jacoby Brissett,IND,447,272,60.9,-2.9,7.9,2942,18,6
29,Baker Mayfield,CLE,534,317,59.4,-3,8.5,3827,22,21
30,Josh Allen,BUF,461,271,58.8,-3,9.3,3089,20,9
31,Gardner Minshew,JAC,470,285,60.6,-3.8,7.1,3271,21,6
32,Tom Brady,NE,613,373,60.8,-4,7.6,4057,24,8
33,Dwayne Haskins,WAS,203,119,58.6,-5,8.6,1365,7,7
