"name","first_serve_percent","ace_percent"
"Hugo Dellien","72.29","2.93"
"John Isner","71.58","26.97"
"Alejandro Davidovich Fokina","70.53","2.52"
"Dusan Lajovic","68.77","4.26"
"Salvatore Caruso","68.71","1.25"
"Pablo Carreno Busta","67.91","5.40"
"Brayden Schnur","67.64","9.97"
"Corentin Moutet","67.27","2.53"
"Alexander Zverev","66.90","13.34"
"Jordan Thompson","66.72","7.39"
"Thomas Fabbiano","66.68","2.40"
"Egor Gerasimov","66.61","11.02"
"Yoshihito Nishioka","66.52","2.50"
"Guido Pella","66.36","5.81"
"Nick Kyrgios","66.34","20.73"
"Antonie Hoang","66.18","3.36"
"Roberto Bautista Agut","66.10","5.04"
"Ivo Karlovic","65.98","25.47"
"Novak Djokovic","65.94","7.82"
"Filip Krajinovic","65.80","6.26"
"Dominic Thiem","65.79","6.17"
"Jiri Vesely","65.67","9.75"
"Mikhail Kukushkin","65.65","3.47"
"Cameron Norrie","65.59","6.11"
"Felix Auger Aliassime","65.54","11.32"
"Diego Sebastian Schwartzman","65.41","2.57"
"Frances Tiafoe","65.38","7.04"
"Gael Monfils","65.38","8.08"
"Denis Istomin","65.07","6.92"
"Maximilian Marterer","64.91","9.44"
"Rafael Nadal","64.85","6.76"
"Casper Ruud","64.81","4.72"
"Hubert Hurkacz","64.81","9.24"
"Bernard Tomic","64.78","11.88"
"Marcel Granollers","64.75","7.13"
"Mischa Zverev","64.70","6.61"
"Roger Federer","64.69","9.78"
"Juan Martin Del Potro","64.50","12.40"
"Thiago Monteiro","64.49","5.68"
"Taro Daniel","64.42","4.36"
"Hyeon Chung","64.40","6.07"
"Pablo Andujar","64.32","2.30"
"Reilly Opelka","64.21","24.81"
"Sergiy Stakhovsky","64.06","10.68"
"Damir Dzumhur","63.98","3.07"
"Fernando Verdasco","63.93","8.89"
"Marco Cecchinato","63.84","6.02"
"Stefanos Tsitsipas","63.82","8.55"
"David Ferrer","63.68","2.58"
"Radu Albot","63.60","4.29"
"Kei Nishikori","63.54","3.45"
"Yannick Maden","63.41","3.01"
"Kevin Anderson","63.22","17.82"
"Daniel Evans","63.12","4.85"
"Soon Woo Kwon","63.06","3.77"
"Albert Ramos","62.98","4.01"
"Grigor Dimitrov","62.94","8.18"
"Milos Raonic","62.81","24.63"
"Nicolas Jarry","62.75","10.69"
"Borna Coric","62.74","8.55"
"Jaume Munar","62.66","5.06"
"Karen Khachanov","62.63","8.87"
"Kyle Edmund","62.61","7.35"
"Lorenzo Sonego","62.56","8.52"
"Steve Darcis","62.47","5.15"
"Jeremy Chardy","62.38","10.78"
"Roberto Carballes Baena","62.36","4.04"
"Cedrik Marcel Stebe","62.31","4.52"
"Joao Sousa","62.13","5.97"
"Mackenzie Mcdonald","62.03","5.34"
"Gregoire Barrere","61.93","7.11"
"Sam Querrey","61.92","20.75"
"Federico Delbonis","61.92","4.13"
"Guido Andreozzi","61.92","3.85"
"Gilles Simon","61.76","4.99"
"Lloyd George Muirhead Harris","61.75","12.24"
"Matteo Berrettini","61.62","11.36"
"Philipp Kohlschreiber","61.58","6.60"
"Dennis Novak","61.46","5.16"
"Alex De Minaur","61.41","5.13"
"Miomir Kecmanovic","61.15","5.04"
"Richard Gasquet","61.07","7.79"
"Matthew Ebden","61.04","8.74"
"Alexei Popyrin","61.01","9.36"
"Paolo Lorenzi","60.87","4.93"
"Christian Garin","60.87","5.63"
"Laslo Djere","60.84","6.75"
"John Millman","60.82","5.55"
"Pierre Hugues Herbert","60.63","8.17"
"Jo Wilfried Tsonga","60.63","14.29"
"Vasek Pospisil","60.63","11.26"
"Tennys Sandgren","60.56","9.97"
"Fabio Fognini","60.54","5.00"
"Juan Ignacio Londero","60.51","5.63"
"Guillermo Garcia Lopez","60.34","5.65"
"Ilya Ivashka","60.23","7.27"
"Ugo Humbert","60.18","8.80"
"Jozef Kovalik","60.13","4.21"
"Adrian Mannarino","60.11","7.09"
"Evgeny Donskoy","60.08","7.60"
"Denis Shapovalov","60.06","10.44"
"Daniil Medvedev","59.76","11.61"
"Prajnesh Gunneswaran","59.73","6.25"
"Janko Tipsarevic","59.72","5.56"
"Martin Klizan","59.60","4.78"
"Dominik Koepfer","59.59","6.09"
"Bradley Klahn","59.45","10.63"
"Henri Laaksonen","59.29","7.35"
"Andrey Rublev","59.14","8.36"
"Stan Wawrinka","59.12","11.10"
"Nicolas Mahut","59.10","6.11"
"Pablo Cuevas","59.08","7.12"
"Lucas Pouille","58.70","8.00"
"Steve Johnson","58.69","7.65"
"Taylor Harry Fritz","58.58","11.90"
"David Goffin","58.44","8.20"
"Tomas Berdych","58.42","7.96"
"Andy Murray","58.38","10.17"
"Leonardo Mayer","58.34","8.68"
"Ricardas Berankis","58.27","4.33"
"Jannik Sinner","58.24","4.49"
"Alexander Bublik","58.19","17.06"
"Marin Cilic","58.06","10.71"
"Andreas Seppi","57.94","7.52"
"Kamil Majchrzak","57.79","7.39"
"Marton Fucsovics","57.79","4.87"
"Nikoloz Basilashvili","57.76","6.11"
"Marius Copil","57.53","12.59"
"Denis Kudla","57.41","7.41"
"Feliciano Lopez","57.20","13.61"
"Robin Haase","56.74","8.60"
"Aljaz Bedene","56.74","11.01"
"Ernests Gulbis","55.62","10.39"
"Jan Lennard Struff","55.54","13.99"
"Malek Jaziri","55.38","3.33"
"Bjorn Fratangelo","55.28","5.67"
"Peter Gojowczyk","53.95","7.94"
"Benoit Paire","51.95","11.65"
"Stefano Travaglia","51.64","10.82"
