last_name, first_name,year,batting_avg,slg_percent,isolated_power,xba,xslg,woba,xwoba,xiso,
Pujols, Albert,2019,.244,.430,.185,.255,.435,.308,.324,.180,
Cabrera, Miguel,2019,.282,.398,.116,.271,.445,.318,.336,.174,
Choo, Shin-Soo,2019,.265,.455,.190,.264,.480,.353,.366,.216,
Jones, Adam,2019,.260,.414,.155,.261,.439,.308,.326,.178,
Cruz, Nelson,2019,.311,.639,.328,.295,.644,.418,.421,.349,
Longoria, Evan,2019,.254,.437,.183,.278,.507,.322,.363,.229,
Fowler, Dexter,2019,.238,.409,.170,.252,.431,.326,.346,.179,
Cabrera, Asdrubal,2019,.260,.441,.181,.241,.419,.331,.325,.178,
Blackmon, Charlie,2019,.314,.576,.262,.302,.534,.387,.377,.232,
Cain, Lorenzo,2019,.260,.372,.112,.296,.426,.302,.350,.130,
Turner, Justin,2019,.290,.509,.219,.291,.526,.370,.384,.235,
Votto, Joey,2019,.261,.411,.150,.261,.451,.332,.351,.190,
Gardner, Brett,2019,.251,.503,.253,.237,.372,.344,.307,.135,
Braun, Ryan,2019,.285,.505,.220,.272,.485,.354,.351,.212,
Gordon, Alex,2019,.266,.396,.129,.265,.442,.319,.343,.177,
Andrus, Elvis,2019,.275,.393,.118,.274,.408,.300,.319,.134,
Ramos, Wilson,2019,.288,.416,.129,.264,.407,.327,.320,.143,
Santana, Carlos,2019,.281,.515,.234,.272,.493,.380,.375,.222,
Belt, Brandon,2019,.234,.403,.169,.244,.467,.319,.352,.223,
Brantley, Michael,2019,.311,.503,.191,.301,.486,.367,.366,.185,
Gurriel, Yuli,2019,.298,.541,.243,.285,.423,.364,.329,.138,
Rojas, Miguel,2019,.284,.379,.095,.277,.384,.305,.315,.106,
Escobar, Eduardo,2019,.269,.511,.242,.260,.475,.341,.336,.214,
Davis, Khris,2019,.220,.387,.166,.236,.447,.289,.325,.211,
Pham, Tommy,2019,.273,.450,.176,.285,.477,.349,.375,.192,
Martinez, J.D.,2019,.304,.557,.252,.307,.580,.386,.405,.273,
Reddick, Josh,2019,.275,.409,.134,.281,.407,.308,.326,.126,
Goldschmidt, Paul,2019,.260,.476,.216,.263,.521,.346,.368,.257,
Altuve, Jose,2019,.298,.550,.252,.280,.504,.374,.362,.223,
Hernandez, Cesar,2019,.279,.408,.129,.271,.384,.315,.316,.113,
Segura, Jean,2019,.280,.420,.141,.278,.412,.315,.325,.134,
Castro, Starlin,2019,.270,.436,.165,.272,.443,.307,.322,.171,
Marte, Starling,2019,.295,.503,.208,.306,.522,.353,.378,.215,
Donaldson, Josh,2019,.259,.521,.262,.273,.545,.377,.396,.272,
Freeman, Freddie,2019,.295,.549,.255,.297,.582,.387,.404,.285,
Grandal, Yasmani,2019,.246,.468,.222,.244,.484,.361,.370,.240,
Heyward, Jason,2019,.251,.429,.177,.267,.416,.328,.340,.149,
LeMahieu, DJ,2019,.327,.518,.191,.320,.534,.375,.387,.215,
Moustakas, Mike,2019,.254,.516,.262,.267,.515,.348,.359,.248,
Rizzo, Anthony,2019,.293,.520,.227,.303,.500,.390,.397,.197,
Galvis, Freddy,2019,.260,.438,.178,.239,.394,.308,.288,.156,
Garcia, Avisail,2019,.282,.464,.182,.279,.505,.334,.358,.226,
Ozuna, Marcell,2019,.241,.472,.231,.294,.552,.336,.392,.258,
Villar, Jonathan,2019,.274,.453,.179,.247,.414,.335,.319,.167,
Santana, Danny,2019,.283,.534,.251,.277,.504,.352,.349,.227,
Crawford, Brandon,2019,.228,.350,.122,.245,.410,.281,.316,.164,
Hosmer, Eric,2019,.265,.425,.160,.258,.420,.309,.315,.162,
Kipnis, Jason,2019,.245,.410,.166,.260,.428,.301,.325,.167,
Rendon, Anthony,2019,.319,.598,.279,.321,.608,.413,.427,.287,
Semien, Marcus,2019,.285,.522,.237,.277,.505,.373,.372,.228,
Springer, George,2019,.292,.591,.299,.288,.583,.401,.408,.295,
Vazquez, Christian,2019,.276,.477,.201,.254,.450,.331,.320,.196,
Wong, Kolten,2019,.285,.423,.138,.254,.369,.334,.314,.115,
Garcia, Leury,2019,.279,.378,.099,.249,.362,.295,.288,.112,
Grichuk, Randal,2019,.232,.457,.225,.243,.439,.307,.314,.196,
Trout, Mike,2019,.291,.645,.353,.313,.681,.436,.465,.368,
Harper, Bryce,2019,.260,.510,.250,.279,.554,.366,.394,.275,
Abreu, Jose,2019,.284,.503,.219,.284,.526,.344,.366,.241,
Suarez, Eugenio,2019,.271,.572,.301,.250,.509,.381,.361,.258,
Santana, Domingo,2019,.253,.441,.188,.256,.494,.326,.353,.238,
Sanchez, Yolmer,2019,.252,.321,.069,.239,.328,.281,.287,.089,
Arenado, Nolan,2019,.315,.583,.269,.276,.492,.392,.351,.216,
Muncy, Max,2019,.251,.515,.265,.273,.528,.373,.393,.256,
Voit, Luke,2019,.263,.464,.200,.252,.499,.360,.370,.248,
Walker, Christian,2019,.259,.476,.217,.265,.522,.346,.369,.257,
Iglesias, Jose,2019,.288,.407,.119,.272,.377,.306,.302,.105,
Bryant, Kris,2019,.282,.521,.239,.252,.471,.380,.358,.219,
Castellanos, Nick,2019,.289,.525,.236,.286,.553,.358,.374,.267,
Machado, Manny,2019,.256,.462,.206,.270,.477,.335,.353,.207,
